;io_counters;memory_percent;memory_info;cpu_percent;exe;pid;name;connections;timestamp;;
0;pio(read_count=3215, write_count=2091, read_bytes=31969299, write_bytes=5839354, other_count=6938, other_bytes=109120);128.304.175.355.437;pmem(rss=150605824, vms=103251968, num_page_faults=67994, peak_wset=169897984, wset=150605824, peak_paged_pool=782496, paged_pool=743872, peak_nonpaged_pool=40968, nonpaged_pool=33560, pagefile=103251968, peak_pagefile=127164416, private=103251968);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[];2022-07-23T15:45:23.033436;;
1;pio(read_count=3215, write_count=2091, read_bytes=31969299, write_bytes=5839354, other_count=6938, other_bytes=109120);128.304.175.355.437;pmem(rss=150605824, vms=103251968, num_page_faults=67994, peak_wset=169897984, wset=150605824, peak_paged_pool=782496, paged_pool=743872, peak_nonpaged_pool=40968, nonpaged_pool=33560, pagefile=103251968, peak_pagefile=127164416, private=103251968);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[];2022-07-23T15:45:24.783714;;
2;pio(read_count=3215, write_count=2091, read_bytes=31969299, write_bytes=5839354, other_count=6938, other_bytes=109120);128.304.175.355.437;pmem(rss=150605824, vms=103251968, num_page_faults=67994, peak_wset=169897984, wset=150605824, peak_paged_pool=782496, paged_pool=743872, peak_nonpaged_pool=40968, nonpaged_pool=33560, pagefile=103251968, peak_pagefile=127164416, private=103251968);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[];2022-07-23T15:45:25.802202;;
3;pio(read_count=3215, write_count=2091, read_bytes=31969299, write_bytes=5839354, other_count=6938, other_bytes=109120);128.304.175.355.437;pmem(rss=150605824, vms=103251968, num_page_faults=67994, peak_wset=169897984, wset=150605824, peak_paged_pool=782496, paged_pool=743872, peak_nonpaged_pool=40968, nonpaged_pool=33560, pagefile=103251968, peak_pagefile=127164416, private=103251968);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[];2022-07-23T15:45:26.818678;;
4;pio(read_count=3215, write_count=2091, read_bytes=31969299, write_bytes=5839354, other_count=6938, other_bytes=109120);128.304.175.355.437;pmem(rss=150605824, vms=103251968, num_page_faults=67994, peak_wset=169897984, wset=150605824, peak_paged_pool=782496, paged_pool=743872, peak_nonpaged_pool=40968, nonpaged_pool=33560, pagefile=103251968, peak_pagefile=127164416, private=103251968);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[];2022-07-23T15:45:27.846434;;
5;pio(read_count=3215, write_count=2091, read_bytes=31969299, write_bytes=5839354, other_count=6938, other_bytes=109120);128.304.175.355.437;pmem(rss=150605824, vms=103251968, num_page_faults=67994, peak_wset=169897984, wset=150605824, peak_paged_pool=782496, paged_pool=743872, peak_nonpaged_pool=40968, nonpaged_pool=33560, pagefile=103251968, peak_pagefile=127164416, private=103251968);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[];2022-07-23T15:45:28.869062;;
6;pio(read_count=3215, write_count=2091, read_bytes=31969299, write_bytes=5839354, other_count=6938, other_bytes=109120);128.304.175.355.437;pmem(rss=150605824, vms=103251968, num_page_faults=67994, peak_wset=169897984, wset=150605824, peak_paged_pool=782496, paged_pool=743872, peak_nonpaged_pool=40968, nonpaged_pool=33560, pagefile=103251968, peak_pagefile=127164416, private=103251968);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[];2022-07-23T15:45:29.886947;;
7;pio(read_count=3215, write_count=2091, read_bytes=31969299, write_bytes=5839354, other_count=6938, other_bytes=109120);128.304.175.355.437;pmem(rss=150605824, vms=103251968, num_page_faults=67994, peak_wset=169897984, wset=150605824, peak_paged_pool=782496, paged_pool=743872, peak_nonpaged_pool=40968, nonpaged_pool=33560, pagefile=103251968, peak_pagefile=127164416, private=103251968);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[];2022-07-23T15:45:30.960197;;
8;pio(read_count=3308, write_count=2190, read_bytes=32002115, write_bytes=5899443, other_count=6972, other_bytes=109496);1.295.359.568.534.500;pmem(rss=152051712, vms=103350272, num_page_faults=68351, peak_wset=169897984, wset=152051712, peak_paged_pool=782496, paged_pool=780320, peak_nonpaged_pool=40968, nonpaged_pool=34648, pagefile=103350272, peak_pagefile=127164416, private=103350272);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[];2022-07-23T15:45:32.014822;;
9;pio(read_count=3416, write_count=2277, read_bytes=32047571, write_bytes=5950976, other_count=7000, other_bytes=109816);1.285.170.327.814.390;pmem(rss=150855680, vms=103366656, num_page_faults=68379, peak_wset=169897984, wset=150855680, peak_paged_pool=782496, paged_pool=777744, peak_nonpaged_pool=40968, nonpaged_pool=33968, pagefile=103366656, peak_pagefile=127164416, private=103366656);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[];2022-07-23T15:45:33.128484;;
10;pio(read_count=3522, write_count=2373, read_bytes=32086659, write_bytes=6003200, other_count=7000, other_bytes=109816);12.852.052.224.743.900;pmem(rss=150859776, vms=103366656, num_page_faults=68380, peak_wset=169897984, wset=150859776, peak_paged_pool=782496, paged_pool=777744, peak_nonpaged_pool=40968, nonpaged_pool=33968, pagefile=103366656, peak_pagefile=127164416, private=103366656);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[];2022-07-23T15:45:34.146288;;
11;pio(read_count=3643, write_count=2491, read_bytes=32133699, write_bytes=6069298, other_count=7009, other_bytes=109866);12.867.056.928.544.100;pmem(rss=151035904, vms=103309312, num_page_faults=68436, peak_wset=169897984, wset=151035904, peak_paged_pool=782496, paged_pool=771600, peak_nonpaged_pool=40968, nonpaged_pool=33696, pagefile=103309312, peak_pagefile=127164416, private=103309312);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[];2022-07-23T15:45:35.172962;;
12;pio(read_count=3722, write_count=2556, read_bytes=32167291, write_bytes=6109022, other_count=7041, other_bytes=110146);12.819.949.137.543.500;pmem(rss=150482944, vms=103325696, num_page_faults=68543, peak_wset=169897984, wset=150482944, peak_paged_pool=782496, paged_pool=771600, peak_nonpaged_pool=40968, nonpaged_pool=33696, pagefile=103325696, peak_pagefile=127164416, private=103325696);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[];2022-07-23T15:45:36.200335;;
13;pio(read_count=3815, write_count=2639, read_bytes=32201539, write_bytes=6157866, other_count=7055, other_bytes=110306);12.823.438.603.543.600;pmem(rss=150523904, vms=103325696, num_page_faults=68553, peak_wset=169897984, wset=150523904, peak_paged_pool=782496, paged_pool=771600, peak_nonpaged_pool=40968, nonpaged_pool=33696, pagefile=103325696, peak_pagefile=127164416, private=103325696);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[];2022-07-23T15:45:37.222671;;
14;pio(read_count=3881, write_count=2858, read_bytes=32289835, write_bytes=7370433, other_count=7322, other_bytes=115372);13.460.266.148.550.700;pmem(rss=157999104, vms=107843584, num_page_faults=70941, peak_wset=169897984, wset=157999104, peak_paged_pool=782496, paged_pool=773016, peak_nonpaged_pool=80964, nonpaged_pool=35952, pagefile=107843584, peak_pagefile=127164416, private=107843584);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=<SocketKind.SOCK_STREAM: 1>, laddr=addr(ip='192.168.100.164', port=50066), raddr=addr(ip='172.67.131.170', port=443), status='ESTABLISHED')];2022-07-23T15:45:38.243355;;
15;pio(read_count=3885, write_count=2861, read_bytes=32304931, write_bytes=7372392, other_count=7393, other_bytes=116518);13.451.542.483.550.600;pmem(rss=157896704, vms=107794432, num_page_faults=70955, peak_wset=169897984, wset=157896704, peak_paged_pool=782496, paged_pool=773016, peak_nonpaged_pool=80964, nonpaged_pool=35952, pagefile=107794432, peak_pagefile=127164416, private=107794432);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=<SocketKind.SOCK_STREAM: 1>, laddr=addr(ip='192.168.100.164', port=50066), raddr=addr(ip='172.67.131.170', port=443), status='ESTABLISHED')];2022-07-23T15:45:39.281715;;
16;pio(read_count=3894, write_count=2866, read_bytes=32323091, write_bytes=7373440, other_count=7455, other_bytes=117606);13.460.266.148.550.700;pmem(rss=157999104, vms=107802624, num_page_faults=70980, peak_wset=169897984, wset=157999104, peak_paged_pool=782496, paged_pool=773016, peak_nonpaged_pool=80964, nonpaged_pool=35952, pagefile=107802624, peak_pagefile=127164416, private=107802624);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=<SocketKind.SOCK_STREAM: 1>, laddr=addr(ip='192.168.100.164', port=50066), raddr=addr(ip='172.67.131.170', port=443), status='ESTABLISHED')];2022-07-23T15:45:40.302059;;
17;pio(read_count=3894, write_count=2866, read_bytes=32323091, write_bytes=7373440, other_count=7455, other_bytes=117606);13.460.266.148.550.700;pmem(rss=157999104, vms=107802624, num_page_faults=70980, peak_wset=169897984, wset=157999104, peak_paged_pool=782496, paged_pool=773016, peak_nonpaged_pool=80964, nonpaged_pool=35952, pagefile=107802624, peak_pagefile=127164416, private=107802624);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=<SocketKind.SOCK_STREAM: 1>, laddr=addr(ip='192.168.100.164', port=50066), raddr=addr(ip='172.67.131.170', port=443), status='ESTABLISHED')];2022-07-23T15:45:41.319812;;
18;pio(read_count=3905, write_count=2891, read_bytes=32326851, write_bytes=7394493, other_count=7469, other_bytes=117766);1.356.878.854.115.190;pmem(rss=159272960, vms=107773952, num_page_faults=71319, peak_wset=169897984, wset=159272960, peak_paged_pool=782496, paged_pool=753992, peak_nonpaged_pool=80964, nonpaged_pool=36768, pagefile=107773952, peak_pagefile=127164416, private=107773952);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=<SocketKind.SOCK_STREAM: 1>, laddr=addr(ip='192.168.100.164', port=50066), raddr=addr(ip='172.67.131.170', port=443), status='ESTABLISHED')];2022-07-23T15:45:42.341509;;
19;pio(read_count=3905, write_count=2894, read_bytes=32326851, write_bytes=7395981, other_count=7469, other_bytes=117766);1.345.712.562.915.070;pmem(rss=157962240, vms=107773952, num_page_faults=71319, peak_wset=169897984, wset=157962240, peak_paged_pool=782496, paged_pool=751432, peak_nonpaged_pool=80964, nonpaged_pool=36088, pagefile=107773952, peak_pagefile=127164416, private=107773952);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=<SocketKind.SOCK_STREAM: 1>, laddr=addr(ip='192.168.100.164', port=50066), raddr=addr(ip='172.67.131.170', port=443), status='ESTABLISHED')];2022-07-23T15:45:43.368184;;
20;pio(read_count=3905, write_count=2894, read_bytes=32326851, write_bytes=7395981, other_count=7469, other_bytes=117766);1.345.712.562.915.070;pmem(rss=157962240, vms=107773952, num_page_faults=71319, peak_wset=169897984, wset=157962240, peak_paged_pool=782496, paged_pool=751432, peak_nonpaged_pool=80964, nonpaged_pool=36088, pagefile=107773952, peak_pagefile=127164416, private=107773952);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=<SocketKind.SOCK_STREAM: 1>, laddr=addr(ip='192.168.100.164', port=50066), raddr=addr(ip='172.67.131.170', port=443), status='ESTABLISHED')];2022-07-23T15:45:44.388970;;
21;pio(read_count=3905, write_count=2897, read_bytes=32326851, write_bytes=7396677, other_count=7469, other_bytes=117766);13.456.427.735.950.700;pmem(rss=157954048, vms=107765760, num_page_faults=71319, peak_wset=169897984, wset=157954048, peak_paged_pool=782496, paged_pool=745288, peak_nonpaged_pool=80964, nonpaged_pool=35816, pagefile=107765760, peak_pagefile=127164416, private=107765760);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=<SocketKind.SOCK_STREAM: 1>, laddr=addr(ip='192.168.100.164', port=50066), raddr=addr(ip='172.67.131.170', port=443), status='ESTABLISHED')];2022-07-23T15:45:45.407490;;
22;pio(read_count=3905, write_count=2897, read_bytes=32326851, write_bytes=7396677, other_count=7469, other_bytes=117766);13.456.776.682.550.700;pmem(rss=157958144, vms=107769856, num_page_faults=71320, peak_wset=169897984, wset=157958144, peak_paged_pool=782496, paged_pool=745288, peak_nonpaged_pool=80964, nonpaged_pool=35816, pagefile=107769856, peak_pagefile=127164416, private=107769856);0.0;C:\Users\Faizal Amiruddin\AppData\Local\insomnia\app-2022.4.2\Insomnia.exe;7396;Insomnia.exe;[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=<SocketKind.SOCK_STREAM: 1>, laddr=addr(ip='192.168.100.164', port=50066), raddr=addr(ip='172.67.131.170', port=443), status='ESTABLISHED')];2022-07-23T15:45:46.426457;;
